CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
44363935000108,1052167,VC-ASSIS,2,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
35662499000187,1592322,VC-CAPAO BONITO,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
2567479000178,1058364,VC-IJUI,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
10997404000155,1454174,VC-MOJI DAS CRUZES,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
89120323000122,1052972,VC-CRUZ ALTA,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
22544634000148,1607589,VC-SERTAO DO MOXOTO,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",sim,,
11426243000102,1238576,VC-NORTE ARAGUAIA,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6135560, CÓDIGO: 6054187, CÓDIGO: 6132938",sim,,
21474133000170,1382036,VC-TABULEIRO,0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
15609494000183,1529829,VC-TIJUCAS,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
1681150000170,1056054,VC-RIO NEGRO (PR),1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190",não,,
3266473000123,1055358,VC-ITAITUBA,0,3,0,1,"CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 6132938",sim,,
3839474000110,1491840,VC-LIMEIRA,2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
6170205000100,1127750,VC-RIO DO SUL,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
19625273000150,1354967,VC-SOBRAL,1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
14079489000143,1504312,VC-PARINTINS,0,0,0,0,,não,,
94126364000166,1438134,VC-PORTO ALEGRE,1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",sim,,
12534873000163,1386299,VC-BLUMENAU,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
30751087000108,1568908,VC-MOJI-MIRIM,2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
16594225000153,1523707,VC-LINS,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",sim,,
19391537000158,1553867,VC-PROPRIA,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
19723911000175,1500257,VC-CAMPO GRANDE,0,1,0,0,CÓDIGO: 6054157,não,,
30017321000160,1538652,VC-VASSOURAS,0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",sim,,
26728597000189,1486981,VC-GARANHUNS,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",sim,,
41514141000100,1636788,VC-ALTO ME CANINDE,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
5290505000151,1083440,VC-N SENHORA DORES,1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
13347012000139,1312715,VC-GUARULHOS,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
27919269000122,1447286,VC-IPU,1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
3239181000100,1050109,VC-MARILIA,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
12816075000124,1624698,VC-CAMPOS DE LAGES,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
49439466000187,1004433,VC-BRAGANCA PAULIST,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
20966860000191,1606603,VC-TRES RIOS,0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677",sim,,
34102030000120,1631983,VC-GERAIS DE BALSAS,0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677",sim,,
33268484000103,1592309,VC-AMPARO,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
3556949000160,1057383,VC-COTEGIPE,0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677",sim,,
13781081000156,1640903,VC-CAMPANHA MERIDION,1,1,0,0,"CÓDIGO: 6054204, CÓDIGO: 6054205",não,,
14582505000116,1500317,VC-TRAIPU,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
96418264030550,1422811,VC-SANTA ROSA,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
10768500000121,1203388,VC-BARREIRAS,0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6054178",sim,,
10299720000153,1590240,VC-BARRA,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
755026000140,1462064,VC-SANTO ANGELO,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
9687705000101,1308080,VC-CARIRA,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
11377417000194,1219279,VC-SAO PAULO,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
65433161000114,1117871,VC-OSASCO,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
5003642000168,1060103,VC-CARAGUATATUBA,1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
51782969000100,1055559,VC-GUARATINGUETA,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180, CÓDIGO: 6135552",sim,,
11564568000151,1226313,VC-CAMPO MAIOR,1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
3047054000109,1503323,VC-BOA VISTA,0,0,0,0,,não,,
28473378000121,1600084,VC-JUNDIAI,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",sim,,
3539468000147,1390373,VC-VACARIA,1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
47599980000154,1052943,VC-OURINHOS,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
