CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados
(1056472,'VC-PASSO FUNDO',4415928005408,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1352634,'VC-CACOAL',14514296000173,1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938"
(1261059,'VC-PORTO FRANCO',11454699000186,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
(1078464,'VC-VITORIA ST ANTAO',6240500000187,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1598412,'VC-DOURADOS',29316596000204,0,4,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6054190"
(1597102,'VC-MADEIRA',26927712000306,0,2,0,1,"CÓDIGO: 6120895, CÓDIGO: 8020791, CÓDIGO: 8018790"
(1622748,'VC-BREJO SANTO',9017714000268,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
(1589092,'VC-VALE DO IPOJUCA',27977631000111,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1057253,'VC-S JOSE DO R PRET',2886038000139,1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6054180"
(1648799,'VC-PIO IX',43940813000174,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
(1493650,'VC-ALTO CAPIBARIBE',27774533000187,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1158416,'VC-IGUATEMI',3673342000160,0,2,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054190"
(1530444,'VC-ALTO TAQUARI',17515104000131,0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750"
(1187663,'VC-PAJEU',5683005000180,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1472728,'VC-ALTO ME CANINDE',7944429000267,2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
(1480089,'VC-IBAITI',17953059000105,0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054180"
(1625501,'VC-NOVA ANDRADINA',11970976000103,0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6054190"
(1169975,'VC-PORTO VELHO',9231910000150,0,3,0,1,"CÓDIGO: 6054187, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938"
(1581667,'VC-VAO DO PARANA',27712950000103,0,1,0,2,"CÓDIGO: 6135560, CÓDIGO: 6132939, CÓDIGO: 8020801"
(1589025,'VC-MACACU-CACERIBU',34099379000150,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599"
(1499302,'VC-STA MARIA VITORI',28076991000105,0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 8018790"
(1565142,'VC-POCOS DE CALDAS',22693291000183,0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6054180"
(1334823,'VC-BREJO PERNAMBU',16445127000154,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1238576,'VC-NORTE ARAGUAIA',11426243000102,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6135560, CÓDIGO: 6054187, CÓDIGO: 6132938"
(1526589,'VC-MTA MERID PERNAM',20442011000139,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1537395,'VC-JOINVILLE',76381482000139,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1053029,'VC-CAMPOS DE LAGES',86692514000170,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1365433,'VC-ARIQUEMES',11649331000173,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938"
(1469352,'VC-TRES LAGOAS',80359771000109,0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750"
(1486981,'VC-GARANHUNS',26728597000189,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178"
(1188945,'VC-CONCORDIA',83573212001329,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1588365,'VC-ITAITUBA',36422811000128,0,2,0,1,"CÓDIGO: 6165750, CÓDIGO: 6054178, CÓDIGO: 6132938"
(1576176,'VC-IMPERATRIZ',37669208000108,0,2,0,1,"CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 6160545"
(1607110,'VC-LAGOS',30017321000160,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599"
(1336229,'VC-RIO DO SUL',17112037000104,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1052863,'VC-CERRO LARGO',88606355000170,1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1522439,'VC-PALMAS',96418264038454,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205"
(1631233,'VC-VARZEA ALEGRE',12194025000152,2,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677"
