CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 42kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
-,1673456,VC-ALTO ME CANINDE,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1625687,VC-S SEBAST PARAISO,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1656544,VC-ALTO TAQUARI,0,0,1,0,0, código: 6054157 ,não,,
-,1162296,VC-GRAMADO-CANELA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1335513,VC-CHAPAD A ITAPECU,0,0,1,0,0, código: 6111677 ,não,,
-,1586287,VC-ASSIS,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1111362,VC-SERRINHA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1246513,VC-SERR SERTA ALAGO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1493248,VC-WESCESLAU BRAZ,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1607249,VC-SAPE,0,0,1,0,0, código: 6054188 ,não,,
-,1644659,VC-SUAPE,1,0,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
-,1479806,VC-S RAIMUNDO NONAT,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1238576,VC-NORTE ARAGUAIA,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1390110,VC-CATALAO,1,0,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
-,1590287,VC-IVAIPORA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1650278,VC-CHAPADINHA,0,0,1,0,0, código: 6111677 ,não,,
-,1518250,VC-COLATINA,0,0,1,0,0, código: 6187066 ,não,,
-,1130867,VC-CAMPANHA MERIDION,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1083115,VC-MEDIO JAGUARIBE,0,0,1,0,0, código: 6111677 ,não,,
-,1504641,VC-ITACOATIARA,0,4,0,0,0," código: 6194008 ,  código: 6186726 ,  código: 6180506 ,  código: 8020201 ",sim,,
-,1636518,VC-TOLEDO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1234751,VC-CAMAQUA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1435850,VC-ST ANTONIO PADUA,0,0,1,0,0, código: 6187066 ,não,,
-,1391068,VC-SUDOESTE DE GOIA,1,0,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
-,1648134,VC-JABOTICABAL,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1057382,VC-JAURU,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1067350,VC-SERTA SEN POMPEU,0,0,1,0,0, código: 6111677 ,não,,
-,1495425,VC-CACHOEIRO ITAPEM,0,0,1,0,0, código: 6187066 ,não,,
-,1264455,VC-COREAU,0,0,1,0,0, código: 6111677 ,não,,
-,1036734,VC-ARACAJU,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1633910,VC-OBIDOS,0,0,1,0,0, código: 6054178 ,não,,
-,1658809,VC-BATALHA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1468177,VC-BICO DO PAPAGAIO,0,0,1,0,0, código: 6054158 ,não,,
-,1071034,VC-LENCOIS MARANHEN,0,0,1,0,0, código: 6111677 ,não,,
-,1001460,VC-JUNDIAI,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1620940,VC-RIBEIRA D POMBAL,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1058223,VC-ALTO PANTANAL,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1649849,VC-BARRETOS,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1151995,VC-CAPAO BONITO,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1254573,VC-SENA MADUREIRA,0,0,1,0,0, código: 6120895 ,não,,
-,1672527,VC-ENTRE RIOS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1051099,VC-PRESIDE PRUDENTE,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1631000,VC-CHAPECO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1349509,VC-BAIXO CURU,0,0,1,0,0, código: 6191541 ,não,,
-,1569835,VC-SANTOS,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1663852,VC-ARAGARCAS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1319779,VC-SINOP,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1600969,VC-VICOSA,0,0,1,0,0, código: 6187066 ,não,,
-,1655291,VC-CAXIAS,0,0,1,0,0, código: 6111677 ,não,,
-,1440870,VC-CACHOEIRA DO SUL,0,0,1,0,0, código: 6054205 ,não,,
-,1668410,VC-CAXIAS DO SUL,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1566379,VC-NATAL,1,0,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
-,1055070,VC-ITUPORANGA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1198122,VC-PATO BRANCO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1121628,VC-SERTAO DO MOXOTO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1450566,VC-CAMPO MOURAO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1570003,VC-PATOS DE MINAS,0,0,1,0,0, código: 6165750 ,não,,
-,1418832,VC-TELEMACO BORBA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
