CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
15287764000187,1294819,VC-IBIAPABA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
3608576000124,1055057,VC-ITUPORANGA,1,1,0,0," código: 6054186 ,  código: 6054205 ",não,,
29311757000188,1469578,VC-JI-PARANA,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
9292375000147,1150278,VC-MACAIBA,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
34441691000180,1065357,VC-JACOBINA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
63400311000168,1351688,VC-MERUOCA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
24979980000184,1417168,VC-IPORA,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
5194952000107,1363644,VC-IPU,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
11478642000117,1349289,VC-ITAPIPOCA,1,0,0,0, código: 6187345 ,não,,
3116557000180,1055467,VC-ITUIUTABA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
80756380000128,1052989,VC-JOINVILLE,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
5873175000127,1065859,VC-LITORAL ARACATI,0,1,0,0, código: 6111677 ,não,,
31196381000150,1497568,VC-ITAMARACA,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
17490802000120,1464132,VC-JUIZ DE FORA,0,1,0,0, código: 6187066 ,não,,
27486891000194,1465784,VC-MOJI DAS CRUZES,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
4878498000140,1058801,VC-LAPA,0,1,0,0, código: 6054190 ,não,,
29733438000160,1498241,VC-JEREMOABO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
29680817000130,1467917,VC-ITAPEVA,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
9353346000148,1458781,VC-ITACOATIARA,0,0,0,0,,não,,
8723313000180,1228107,VC-LIT OCID MARANHE,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
6272399000146,1463035,VC-JABOTICABAL,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
12564518000137,1493406,VC-MANAUS,0,0,0,0,,não,,
739245000135,1000275,VC-JUNDIAI,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
