CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
11454699000186,(1261059,'VC-PORTO FRANCO',0,1,0,0,CÃ“DIGO: 6111677,não,,
5211384000105,(1152500,'VC-LITORAL ARACATI',0,1,0,0,CÃ“DIGO: 6111677,não,,
23435074000156,(1399937,'VC-PASSOS',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
26635765000191,(1431740,'VC-URUBURETAMA',1,1,0,1,"CÃ“DIGO: 6187345, CÃ“DIGO: 6185568, CÃ“DIGO: 6160545",não,,
5990672000105,(1122400,'VC-ITAJAI',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054205",não,,
31438023000106,(1562071,'VC-RONDONOPOLIS',1,2,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6054187, CÃ“DIGO: 6111677, CÃ“DIGO: 6132938",sim,,
9386773000122,(1171570,'VC-ARAGUAINA',0,1,0,0,CÃ“DIGO: 6054158,não,,
16211781000101,(1501264,'VC-JAPARATUBA',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
24310385000151,(1153738,'VC-SERR SERTA ALAGO',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
30532137000158,(1481647,'VC-BERTOLINIA',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
38539820000129,(1581433,'VC-FERNANDOPOLIS',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
15085168000114,(1525245,'VC-ANAPOLIS',1,1,0,2,"CÃ“DIGO: 6172311, CÃ“DIGO: 6135560, CÃ“DIGO: 6135561, CÃ“DIGO: 6132939",sim,,
5422139000147,(1203953,'VC-MEDIO ARAGUAIA',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6135560, CÃ“DIGO: 6132938",não,,
14581044000167,(1403498,'VC-GURUPI (MA)',0,1,0,0,CÃ“DIGO: 6111677,não,,
15522881000188,(1058291,'VC-CASSILANDIA',0,1,0,0,CÃ“DIGO: 6165750,não,,
37956300000159,(1585963,'VC-SERRANA',1,1,0,1,"CÃ“DIGO: 6187067, CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
57632705000149,(1568664,'VC-REGISTRO',0,1,0,0,CÃ“DIGO: 6054180,não,,
19312373000126,(1418716,'VC-UNAI',1,1,0,0,"CÃ“DIGO: 6172311, CÃ“DIGO: 6135560",não,,
69235075000158,(1563702,'VC-RIO CLARO',2,2,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6054172, CÃ“DIGO: 6165750, CÃ“DIGO: 6054180",sim,,
11380954000193,(1565408,'VC-SANTA ROSA',2,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054204, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
23766714000100,(1511435,'VC-OBIDOS',0,1,0,0,CÃ“DIGO: 6054178,não,,
28537951000113,(1469580,'VC-VITORIA',0,1,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6162599",não,,
79847687000155,(1043649,'VC-PATO BRANCO',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
15452395000130,(1518521,'VC-ST ANTONIO JESUS',1,1,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054178",não,,
6966661000152,(1440800,'VC-JAURU',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6054187, CÃ“DIGO: 6132938",não,,
32171843000147,(1605486,'VC-JUNDIAI',1,3,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6165750, CÃ“DIGO: 6111677, CÃ“DIGO: 6054180",sim,,
