Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-SALVADOR','45289076000117','1650044',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SANANDUVA','42650992000142','1634344',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SANTA CRUZ D SUL','94853876000124','1551057',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-SANTA MARIA','38383020000161','1628424',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-SANTA ROSA','23982091000103','1546901',2,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SANTA TERESA','10584485000161','1497272',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-SANTANA IPANEMA','38184066000151','1637613',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SANTIAGO','35998029000199','1611953',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-SANTO ANGELO','43596644000105','1637487',2,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SANTOS','45477411000100','1643231',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-SAO BENTO DO SUL','28543752000118','1618053',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-SAO CARLOS','34324047000122','1632351',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-SAO JERONIMO','90377037000126','1550138',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-SAO LOURENCO','16823213000153','1525283',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-SAO MATEUS','21454082000114','1539252',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677",,,
VC-SAO MATEUS D SUL','32764705000171','1524649',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-SAO MIGUEL D EST','34425619000160','1633137',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SAO PAULO','31157385000129','1648253',1,4,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",,,
VC-SAPE','38848107000329','1607249',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677",,,
VC-SEABRA','15102262000800','1205087',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SENA MADUREIRA','10385218000165','1556102',0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6111677",,,
VC-SENHOR DO BONFIM','22491677000102','1459910',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERG SERT S FRAN','29250244000104','1620892',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERID OCID PARAI','29250244000104','1620892',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERR SERTA ALAGO','08724813000136','1447087',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERRA D TEIXEIRA','06179739000199','1168358',0,2,0,0,"CÓDIGO: 6054188, CÓDIGO: 6111677",,,
VC-SERRANA','41806564000101','1646680',2,2,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-SERRANA QUILOMBO','43861583000158','1631069',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERRAS DE SUDEST','33151137000104','1611985',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-SERRINHA','17252675000120','1626479',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SERTAO DO MOXOTO','14423650000154','1624910',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SINOP','41938922000121','1612606',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-SOLEDADE','11380954000193','1529100',0,3,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SOROCABA','12337360000162','1301442',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-SOUSA','12337360000162','1301442',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-ST ANTONIO JESUS','31439325000107','1626806',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-ST ANTONIO PADUA','37221065000177','1628873',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
VC-STA MARIA VITORI','42741823000118','1650367',0,3,0,1,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 6111677, CÓDIGO: 8018790",,,
VC-STA RITA SAPUCAI','39257906000121','1630049',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-SUAPE','42924799000152','1634493',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677",,,
VC-SUDOESTE DE GOIA','02635833001045','1642201',2,2,0,0,"CÓDIGO: 6054184, CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677",,,
VC-TABULEIRO','28335994000116','1542142',0,3,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-TANGARA DA SERRA','13281186000146','1546874',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-TARAUACA','59225698001320','1608144',0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6111677",,,
