CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
10348115000125,1261409,VC-FLORIANO,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
22629031000149,1445266,VC-CHAPADINHA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
26485622000140,1465318,VC-FORTALEZA,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
74172305000117,1476626,VC-CANINDE,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
19951217000105,1364070,VC-FEIRA DE SANTANA,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
3098765000102,1009690,VC-CANTAGALO-CORDEI,1,1,0,0," código: 6112143 ,  código: 6187066 ",não,,
20124523000157,1478884,VC-CASSILANDIA,0,1,0,0, código: 6165750 ,não,,
29915765000133,1470103,VC-FRUTAL,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
8872393000135,1154160,VC-GURUPI (MA),0,1,0,0, código: 6111677 ,não,,
31584862000132,1506657,VC-CATU,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
10576864000371,1432638,VC-CARATINGA,0,1,0,0, código: 6111677 ,não,,
19930524000100,1521004,VC-CAMPOS DE LAGES,1,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
24545310001202,1470344,VC-CATAGUASES,0,1,0,0, código: 6187066 ,não,,
14834920000110,1368008,VC-CRUZEIRO DO SUL,0,1,0,0, código: 6120895 ,não,,
3091146000188,1067869,VC-COREAU,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
2490668000190,1207833,VC-CUIABA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
8951610000182,1165174,VC-CARAGUATATUBA,1,2,0,0," código: 6054172 ,  código: 6187066 ,  código: 6054180 ",sim,,
90312752000261,1050054,VC-FREDE WESTPHALEN,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
8985934000131,1210148,VC-CARAZINHO,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
26184665000196,1436767,VC-CERES,1,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
20606000199,1056734,VC-FERNANDOPOLIS,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
9069399000131,1538675,VC-GUANAMBI,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
4677692000168,1056303,VC-CIANORTE,0,1,0,0, código: 6054190 ,não,,
75001000286,1435270,VC-EUCLIDES D CUNHA,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
4637268000190,1167640,VC-DOURADOS,0,1,0,0, código: 6054190 ,não,,
33070454000198,1522884,VC-GUAMA,0,1,0,0, código: 6054178 ,não,,
5101840000164,1350950,VC-ERECHIM,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
25333718000120,1488860,VC-GRAMADO-CANELA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
17603009000190,1320369,VC-GUARAPUAVA,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
30157525000104,1531210,VC-CATALAO,1,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
27025247000119,1491423,VC-GUARABIRA,0,1,0,0, código: 6054188 ,não,,
19000532000157,1344604,VC-GUAJARA-MIRIM,0,1,0,0, código: 6120895 ,não,,
5606872000111,1231532,VC-CAPANEMA,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
979565000162,1130215,VC-GARANHUNS,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
