CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
22717942000128,1393836,VC-BLUMENAU,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054205 ",sim,,
7658491000101,1531766,VC-BAIXO PANTANAL,0,1,0,0, código: 6054157 ,não,,
27773310000286,1507536,VC-COELHO NETO,0,1,0,0, código: 6111677 ,não,,
36326874000180,1456752,VC-SANTA TERESA,0,1,0,0, código: 6187066 ,não,,
9494637000156,1161076,VC-BELEM,0,1,0,0, código: 6054178 ,não,,
3064341000119,1077704,VC-SANTA CRUZ D SUL,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
13170166000106,1290335,VC-ARARIPINA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
3855473000169,1417944,VC-GUAMA,0,1,0,0, código: 6054178 ,não,,
11066000000100,1260232,VC-ARINOS,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
33510649000101,1548122,VC-BREJO PERNAMBU,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
10776542000104,1483981,VC-JAU,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
86326865000320,1157512,VC-RIO DO SUL,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
82044819000115,1291144,VC-JAGUARIAIVA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
8811472000136,1311783,VC-VITORIA ST ANTAO,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
13770733000157,1358307,VC-ARAPIRACA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
85066892000186,1053616,VC-PITANGA,0,1,0,0, código: 6054190 ,não,,
3823077000150,1057406,VC-NOVA ANDRADINA,0,1,0,0, código: 6054190 ,não,,
13727001000184,1475155,VC-PONTE NOVA,0,1,0,0, código: 6111677 ,não,,
29047942000107,1512923,VC-ITABAIANA,0,1,0,0, código: 6054188 ,não,,
5257125000115,1322884,VC-FORMIGA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
8936235000100,1158429,VC-VASSOURAS,0,1,0,0, código: 6187066 ,não,,
17907140000140,1411963,VC-GERAIS DE BALSAS,0,1,0,0, código: 6111677 ,não,,
24545310001202,1470344,VC-CATAGUASES,0,1,0,0, código: 6187066 ,não,,
27071931000137,1435031,VC-BARRO,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
12255908000125,1388532,VC-LIT NTE ALAGOANO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
35227461000186,1069295,VC-MEDIO JAGUARIBE,0,1,0,0, código: 6111677 ,não,,
66774373000128,1059842,VC-S JOAO  BOA VISTA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
2334481000105,1057145,VC-GURUPI (TO),0,1,0,0, código: 6135560 ,não,,
26085932000178,1442629,VC-VOTUPORANGA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
11718393000190,1259872,VC-BAIXA MARANHENSE,1,1,0,0," código: 6187345 ,  código: 6054178 ",não,,
36931301000500,1436776,VC-RONDONOPOLIS,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
23584485000103,1066248,VC-SERT QUIXERAMOBI,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
20601837000527,1428335,VC-GOV VALADARES,0,0,0,0,,não,,
14391136000184,1285746,VC-TOME-ACU,0,1,0,0, código: 6054178 ,não,,
4723470000134,1476570,VC-PARANATINGA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
21387801000121,1378488,VC-COREAU,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
23429218000161,1469096,VC-ITAITUBA,0,1,0,0, código: 6054178 ,não,,
27797199000187,1445443,VC-PARANAVAI,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
29698468000183,1470268,VC-CERRO AZUL,0,1,0,0, código: 6054190 ,não,,
7726544000184,1065124,VC-TANGARA DA SERRA,1,2,0,0," código: 6054184 ,  código: 6054187 ,  código: 6165750 ",sim,,
10375740000166,1482888,VC-BREJO SANTO,1,1,0,0," código: 6161835 ,  código: 6111677 ",não,,
4419786000137,1002002,VC-TELEMACO BORBA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
32025196000165,1510370,VC-ALTO ARAGUAIA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
22739499000196,1406331,VC-NOVO HORIZONTE,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
19692467000178,1349553,VC-RIO NEGRO (PR),2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
10480668000137,1205436,VC-UNIAO DA VITORIA,0,1,0,0, código: 6054190 ,não,,
21248866000196,1384383,VC-PACAJUS,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
10468050000151,1228396,VC-ANAPOLIS,1,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
