CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 42kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
-,1628758,VC-JAURU,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1585933,VC-ERECHIM,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1246513,VC-SERR SERTA ALAGO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1372253,VC-TRES PASSOS,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1474847,VC-LITORAL ARACATI,0,0,1,0,0, código: 6111677 ,não,,
-,1313444,VC-CURITIBANOS,0,0,1,0,0, código: 6054205 ,não,,
-,1608281,VC-VALENCA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1269833,VC-SALGUEIRO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1390115,VC-BACIA D SAO JOAO,0,0,1,0,0, código: 6187066 ,não,,
-,1350698,VC-SERRAS DE SUDEST,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1631451,VC-JEQUIE,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1228678,VC-FORTALEZA,0,0,1,0,0, código: 6191541 ,não,,
-,1561310,VC-CRICIUMA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1050156,VC-PORECATU,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1658822,VC-OBIDOS,0,0,1,0,0, código: 6054178 ,não,,
-,1401747,VC-MACAE,1,0,1,0,0," código: 6112143 ,  código: 6187066 ",não,,
-,1418845,VC-SANANDUVA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1006094,VC-RIO DO SUL,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1410750,VC-COTEGIPE,0,0,1,0,0, código: 6135560 ,não,,
-,1494253,VC-MONTANHA,0,0,1,0,0, código: 6187066 ,não,,
-,1645829,VC-RIO DE JANEIRO,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1056137,VC-CERRO LARGO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1464872,VC-ITAPERUNA,0,0,1,0,0, código: 6187066 ,não,,
-,1338976,VC-LENCOIS MARANHEN,0,0,1,0,0, código: 6111677 ,não,,
-,1183860,VC-BAIA ILHA GRANDE,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1051892,VC-STA RITA SAPUCAI,0,0,1,0,0, código: 6165750 ,não,,
-,1407502,VC-VACARIA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1062273,VC-MOJI-MIRIM,2,0,1,0,0," código: 6172139 ,  código: 6054172 ,  código: 6165750 ",não,,
-,1067371,VC-TOBIAS BARRETO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1673343,VC-MACAPA,0,0,1,0,0, código: 6054178 ,não,,
-,1562767,VC-CANOINHAS,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1612684,VC-QUIRINOPOLIS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1604406,VC-ANDRELANDIA,0,0,1,0,0, código: 6165750 ,não,,
-,1456850,VC-JI-PARANA,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1566371,VC-TUPA,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1417708,VC-BRASILEIA,0,0,1,0,0, código: 6120895 ,não,,
-,1668933,VC-SOROCABA,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1545909,VC-BAIXO PANTANAL,0,0,1,0,0, código: 6054157 ,não,,
-,1670929,VC-GURUPI (MA),0,0,1,0,0, código: 6111677 ,não,,
-,1594961,VC-BODOQUENA,0,0,1,0,0, código: 6054157 ,não,,
-,1532459,VC-FEIRA DE SANTANA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1051695,VC-MACACU-CACERIBU,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1255001,VC-GUARAPUAVA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1581398,VC-POCOS DE CALDAS,0,0,1,0,0, código: 6165750 ,não,,
-,1446934,VC-OSASCO,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1133396,VC-CAMPOS GOYTACAZE,0,0,1,0,0, código: 6187066 ,não,,
-,1603757,VC-ALTO SOLIMOES,0,4,0,0,0," código: 6194008 ,  código: 6186726 ,  código: 6180506 ,  código: 8020201 ",sim,,
-,1060865,VC-BARRETOS,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1545582,VC-BARREIRAS,0,0,1,0,0, código: 6135560 ,não,,
-,1606344,VC-TERESINA,0,0,1,0,0, código: 6111677 ,não,,
-,1499782,VC-PAULO AFONSO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1665252,VC-PORTO FRANCO,0,0,1,0,0, código: 6111677 ,não,,
-,1677144,VC-LIT NTE ALAGOANO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1157623,VC-ARACATUBA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1661605,VC-TRES LAGOAS,0,0,1,0,0, código: 6165750 ,não,,
-,1559306,VC-CARIRI,0,0,1,0,0, código: 6111677 ,não,,
-,1551686,VC-VITORIA CONQUIST,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1525200,VC-A PARNAIBA PIAUI,0,0,1,0,0, código: 6111677 ,não,,
-,1619427,VC-FUROS DE BREVES,0,0,1,0,0, código: 6054178 ,não,,
-,1564196,VC-VASSOURAS,0,0,1,0,0, código: 6187066 ,não,,
-,1288142,VC-IGUATEMI,0,0,1,0,0, código: 6054190 ,não,,
-,1562975,VC-ANDRADINA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1615467,VC-ARIQUEMES,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1456185,VC-GERAIS DE BALSAS,0,0,1,0,0, código: 6111677 ,não,,
-,1067497,VC-MACEIO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1646364,VC-PENEDO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1461893,VC-CAMPOS DE LAGES,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1655420,VC-GURUPI (TO),0,0,1,0,0, código: 6135560 ,não,,
-,1058798,VC-PARAIB/PARAITING,0,0,1,0,0, código: 6054180 ,não,,
-,1536286,VC-ALTO M GURGUEIA,0,0,1,0,0, código: 6111677 ,não,,
-,1670133,VC-AGRESTE LAGARTO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1466738,VC-ASSIS,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1466623,VC-SAO MIGUEL D EST,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1672982,VC-MTA SETEN PERNAM,0,0,1,0,0, código: 6054188 ,não,,
-,1601308,VC-PASSO FUNDO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1576392,VC-COLIDER,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
