CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
35589805000105,1549796,VC-PARANATINGA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
24009197000198,1450306,VC-TRES LAGOAS,0,2,0,0," código: 6054157 ,  código: 6165750 ",sim,,
16838046000114,1355513,VC-CRUZ ALTA,2,2,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
11520665000142,1606094,VC-SUAPE,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
28578649000294,1604970,VC-BARRA DO PIRAI,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
17001997000105,1336034,VC-ITAJAI,1,1,0,0," código: 6054186 ,  código: 6054205 ",não,,
33040368000132,1644605,VC-PATOS,0,1,0,0, código: 6054188 ,não,,
29147716000106,1499242,VC-ERECHIM,1,2,0,0," código: 6054186 ,  código: 6054190 ,  código: 6054205 ",sim,,
21633218000153,1593727,VC-LIT NTE ALAGOANO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
10703083000139,1197862,VC-SANTA QUITERIA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
82349234000103,1052794,VC-MARINGA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
4983199000176,1058593,VC-CAMPOS DE LAGES,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
33915466000176,1531634,VC-ARAGARCAS,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
29653816000104,1467675,VC-SANTANA IPANEMA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
8907348000179,1487774,VC-ALTO TELES PIRES,1,2,0,0," código: 6054184 ,  código: 6054187 ,  código: 6165750 ",sim,,
18614810000101,1434433,VC-ST ANTONIO PADUA,0,1,0,0, código: 6187066 ,não,,
23698477000198,1480895,VC-JI-PARANA,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
11072146000169,1460844,VC-TOLEDO,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
66717315000162,1061075,VC-SAO CARLOS,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
34105676000323,1462185,VC-PETROLINA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
20164302000102,1523126,VC-CAMPO GRANDE,0,1,0,0, código: 6054157 ,não,,
93810760000145,1036318,VC-VACARIA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
57839276000185,1052321,VC-S JOSE CAMPOS,1,1,0,0," código: 6054172 ,  código: 6187066 ",não,,
2139815000181,1058798,VC-PARAIB/PARAITING,0,1,0,0, código: 6054180 ,não,,
36407542000120,1414165,VC-GUARAPARI,0,1,0,0, código: 6187066 ,não,,
4265999000151,1227829,VC-UNAI,1,1,0,0," código: 6172311 ,  código: 6135560 ",não,,
18105901000103,1378716,VC-CURITIBA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
12706289000148,1034421,VC-SERRANA QUILOMBO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
14381667000196,1515742,VC-BREJO PERNAMBU,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
28215660000109,1540831,VC-COTINGUIBA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
27187877000190,1585464,VC-CAMPINAS,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
22728717000197,1568694,VC-JACAREZINHO,2,2,0,0," código: 6054172 ,  código: 6054186 ,  código: 6054190 ,  código: 6054180 ",sim,,
27281141000186,1552577,VC-CAMPANHA CENTRAL,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
