CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
'21450912000135','1506783','VC-S JOSE CAMPOS',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'2056286000152','1466186','VC-ALTO ME CANINDE',2,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6187345, CÃ“DIGO: 6111677, CÃ“DIGO: 6054178",sim,,
'22749163000104','1413178','VC-MOJI DAS CRUZES',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'4137267000186','1172494','VC-LIMEIRA',2,2,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6054172, CÃ“DIGO: 6165750, CÃ“DIGO: 6054180",sim,,
'30561224000133','1616438','VC-SERTAO DO MOXOTO',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188, CÃ“DIGO: 6054178",sim,,
'32410037000184','1600864','VC-VASSOURAS',0,2,0,1,"CÃ“DIGO: 6187066, CÃ“DIGO: 6111677, CÃ“DIGO: 6162599",sim,,
'10473269000149','1606818','VC-VACARIA',1,2,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'30277555000146','1559945','VC-GERAIS DE BALSAS',0,2,0,0,"CÃ“DIGO: 6135560, CÃ“DIGO: 6111677",sim,,
'15522621000102','1461633','VC-PORTO ALEGRE',1,2,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6111677, CÃ“DIGO: 6054205",sim,,
'36640939000168','1614260','VC-JUNDIAI',1,3,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6165750, CÃ“DIGO: 6111677, CÃ“DIGO: 6054180",sim,,
'35015487000160','1633408','VC-BARRA',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6111677, CÃ“DIGO: 6054178",sim,,
'37805183000122','1612594','VC-GARANHUNS',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6054188, CÃ“DIGO: 6054178",sim,,
'73841975000116','1041027','VC-LONDRINA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'30578142000100','1512531','VC-CAMPO GRANDE',0,1,0,0,CÃ“DIGO: 6054157,não,,
'7480159000108','1388568','VC-CAMPANHA MERIDION',1,1,0,0,"CÃ“DIGO: 6054204, CÃ“DIGO: 6054205",não,,
'22192880000188','1583467','VC-CAPANEMA',1,1,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190",não,,
'4415928018569','1304321','VC-CACHOEIRA DO SUL',0,1,0,0,CÃ“DIGO: 6054205,não,,
'7129367000159','1477065','VC-TRAIPU',1,2,0,0,"CÃ“DIGO: 6161835, CÃ“DIGO: 6111677, CÃ“DIGO: 6054178",sim,,
'19927172000133','1607955','VC-S SEBAST PARAISO',1,1,0,0,"CÃ“DIGO: 6172139, CÃ“DIGO: 6165750",não,,
'49313968000167','1055005','VC-OSASCO',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'3015549000148','1070926','VC-SERTA SEN POMPEU',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'1475750000182','1447597','VC-CACOAL',1,1,0,1,"CÃ“DIGO: 6054184, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",não,,
'30322740000105','1475411','VC-GUARULHOS',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'15751323000194','1335026','VC-CARAGUATATUBA',1,2,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6187066, CÃ“DIGO: 6054180",sim,,
'23860385000162','1568088','VC-ASSIS',2,3,0,0,"CÃ“DIGO: 6054172, CÃ“DIGO: 6054186, CÃ“DIGO: 6111677, CÃ“DIGO: 6054190, CÃ“DIGO: 6054180",sim,,
'10405377000184','1593514','VC-TIJUCAS',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'6028989000128','1070759','VC-PINDARE',1,2,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677, CÃ“DIGO: 6054178",sim,,
'91115618000152','1286640','VC-IJUI',2,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054204, CÃ“DIGO: 6054190, CÃ“DIGO: 6054205",sim,,
'15814264000156','1304391','VC-SANTA QUITERIA',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'9442422000515','1163330','VC-SOBRAL',1,1,0,0,"CÃ“DIGO: 6187345, CÃ“DIGO: 6111677",não,,
'4840002000140','1334599','VC-PORTO VELHO',0,2,0,1,"CÃ“DIGO: 6120895, CÃ“DIGO: 6165750, CÃ“DIGO: 6132938",sim,,
'52870888000460','1117805','VC-MARILIA',1,2,0,0,"CÃ“DIGO: 6054186, CÃ“DIGO: 6054190, CÃ“DIGO: 6054180",sim,,
