CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
23112674000183,1394122,VC-TANGARA DA SERRA,1,2,0,0," código: 6054184 ,  código: 6054187 ,  código: 6165750 ",sim,,
66411653000171,1545350,VC-SAO LOURENCO,0,1,0,0, código: 6165750 ,não,,
13037707000114,1460433,VC-SERRA SAO MIGUEL,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
13581300000153,1265393,VC-VALENCA DO PIAUI,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
32981019000152,1522926,VC-VALE DO IPOJUCA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
7719160000134,1485042,VC-SUDOESTE DE GOIA,1,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
85217453000127,1053803,VC-SAO MIGUEL D EST,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
18273275000164,1408708,VC-TRES RIOS,0,1,0,0, código: 6187066 ,não,,
10769838000106,1198440,VC-VOTUPORANGA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
8519731000150,1123489,VC-SOBRAL,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
81101743000150,1056451,VC-WESCESLAU BRAZ,2,2,0,0," código: 6054172 ,  código: 6054186 ,  código: 6054190 ,  código: 6054180 ",sim,,
1641659000190,1057536,VC-XANXERE,1,2,0,0," código: 6054186 ,  código: 6054190 ,  código: 6054205 ",sim,,
8043638000111,1161253,VC-VICOSA,0,1,0,0, código: 6187066 ,não,,
84429810003840,1451486,VC-SAO BENTO DO SUL,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
14329585000100,1063796,VC-SENA MADUREIRA,0,1,0,0, código: 6120895 ,não,,
12779970000116,1328930,VC-SEABRA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
97527129000194,1414222,VC-VALE DO IPANEMA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
18006747000112,1459356,VC-STA M MADALENA,0,1,0,0, código: 6187066 ,não,,
23768775000107,1486989,VC-SERRA D TEIXEIRA,0,1,0,0, código: 6054188 ,não,,
16123069000142,1049700,VC-STA MARIA VITORI,0,1,0,0, código: 6135560 ,não,,
17206956000147,1480242,VC-VITORIA,0,1,0,0, código: 6187066 ,não,,
19038204000140,1426046,VC-TESOURO,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
5783042000160,1317399,VC-TUBARAO,1,1,0,0," código: 6054186 ,  código: 6054205 ",não,,
8609070000153,1224924,VC-VAO DO PARANA,0,1,0,0, código: 6135560 ,não,,
19337916000160,1423347,VC-SUAPE,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
80098007000127,1369893,VC-TABULEIRO,0,1,0,0, código: 6054205 ,não,,
24680564000180,1418071,VC-VILHENA,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
1518227000196,1129594,VC-SERRANA,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
18459238000145,1501169,VC-ST ANTONIO JESUS,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
13654557000198,1491042,VC-VITORIA ST ANTAO,1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
27024665000191,1446900,VC-TOME-ACU,0,1,0,0, código: 6054178 ,não,,
96418264000210,1053111,VC-SANTA ROSA,2,2,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
67594192000182,1055717,VC-SERT QUIXERAMOBI,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
12278534000163,1342397,VC-SAO MATEUS D SUL,0,1,0,0, código: 6054190 ,não,,
3539468000147,1390373,VC-VACARIA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
11779213000260,1452069,VC-TOLEDO,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
24417070000108,1448995,VC-TEFE,0,0,0,0,,não,,
30768777000161,1491071,VC-SAO MATEUS,0,1,0,0, código: 6187066 ,não,,
29420357000100,1477643,VC-TATUI,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
2510859000419,1406123,VC-SAO FELIX  XINGU,0,0,0,0,,não,,
13055412000170,1416812,VC-VARGINHA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
3456931000197,1064417,VC-SANTA CRUZ D SUL,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
4415928006471,1050321,VC-SANTA MARIA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
17207915000175,1343216,VC-UMUARAMA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
10919762000140,1432204,VC-SERTAO DO MOXOTO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
5974301000130,1419183,VC-ST ANTONIO PADUA,0,1,0,0, código: 6187066 ,não,,
9407799000100,1172012,VC-URUBURETAMA,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
7129367000159,1477065,VC-TRAIPU,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
5734628000134,1326018,VC-SANTA QUITERIA,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
