CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
21592115000273,1478095,VC-BRASILEIA,0,1,0,0, código: 6120895 ,não,,
20838483000105,1434413,VC-AL MEARIM GRAJAU,0,1,0,0, código: 6111677 ,não,,
8841961000130,1171546,VC-BATURITE,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
22220155000176,1405958,VC-BARREIRAS,0,1,0,0, código: 6135560 ,não,,
10607236000144,1210494,VC-BOTUCATU,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
3047380000108,1048848,VC-CAMAQUA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
29018699000107,1469284,VC-ALTO CAPIBARIBE,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
25036012000105,1443638,VC-BELEM,0,2,0,0," código: 6111677 ,  código: 6054178 ",sim,,
999460000175,1052934,VC-ASTORGA,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
13631995000130,1312553,VC-BX PARNAIB PIAUI,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
13602680000165,1310307,VC-ADAMANTINA,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
5791393000201,1392417,VC-BRAGANCA PAULIST,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
17683281000127,1337787,VC-CAMPANHA MERIDION,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
13737188000105,1273999,VC-ARARIPINA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
16701913000175,1325959,VC-ARIPUANA,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
4046379000121,1063935,VC-AQUIDAUANA,0,1,0,0, código: 6054157 ,não,,
10280765005730,1368962,VC-CAMPANHA OCIDENT,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
31526803000108,1512934,VC-ANDRELANDIA,0,1,0,0, código: 6165750 ,não,,
17058027000138,1316049,VC-BIRIGUI,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
35035183000246,1545773,VC-BARRETOS,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
30777936000194,1491036,VC-BAIXA MARANHENSE,1,1,0,0," código: 6187345 ,  código: 6054178 ",não,,
1783017000125,1047775,VC-ARARAQUARA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
7171848000122,1156904,VC-BARRA DO PIRAI,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
8808754000184,1128322,VC-ALAGOA S S FRANC,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
3366535000179,1240841,VC-BACIA D SAO JOAO,0,1,0,0, código: 6187066 ,não,,
29617937000192,1495445,VC-BOCA DO ACRE,0,0,0,0,,não,,
