CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
'10619717000170','1201345','VC-JUNDIAI',1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",sim,,
'12915671000161','1352842','VC-PITANGA',0,1,0,0,CÓDIGO: 6054190,não,,
'52751500000169','1045112','VC-ADAMANTINA',1,1,0,1,"CÓDIGO: 6054172, CÓDIGO: 6054180, CÓDIGO: 6135552",não,,
'40477706000163','1601055','VC-PORTO VELHO',0,2,0,1,"CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938",sim,,
'30751087000108','1558673','VC-MOJI-MIRIM',2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'36180556000154','1563880','VC-S JOSE CAMPOS',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
'8111821000107','1080865','VC-MTA MERID PERNAM',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",sim,,
'59225698001320','1608144','VC-TARAUACA',0,1,0,0,CÓDIGO: 6120895,não,,
'7129367000159','1477065','VC-TRAIPU',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
'16594225000153','1551770','VC-LINS',1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180",sim,,
'19614462000127','1611366','VC-ITAPERUNA',0,1,0,1,"CÓDIGO: 6187066, CÓDIGO: 6162599",não,,
'8263171000115','1586981','VC-ITAITUBA',0,3,0,1,"CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 6132938",sim,,
'29452284000139','1562127','VC-PORTO ALEGRE',1,2,0,0,"CÓDIGO: 6054204, CÓDIGO: 6111677, CÓDIGO: 6054205",sim,,
'27231779000102','1570003','VC-PATOS DE MINAS',0,0,0,0,,não,,
'41392850000160','1615286','VC-ENTRE RIOS',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
'91115618000152','1286640','VC-IJUI',2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
'10280765001581','1207906','VC-CAMPANHA CENTRAL',1,1,0,0,"CÓDIGO: 6054204, CÓDIGO: 6054205",não,,
'22100156000187','1559749','VC-JOACABA',1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054205",não,,
'10385218000165','1556102','VC-SENA MADUREIRA',0,1,0,0,CÓDIGO: 6120895,não,,
'19589596000135','1354360','VC-CUIABA',1,1,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6132938",não,,
'32475769000152','1598623','VC-DOURADOS',0,2,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054190",sim,,
'33486860000136','1535902','VC-ALAGOA S S FRANC',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
'30708915000117','1482892','VC-BOQUIM',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
'11380954000193','1565601','VC-SANTA ROSA',2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
'40049205000186','1606555','VC-TABULEIRO',0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
'29067113016513','1508','VC-FOZ DO IGUACU',1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190",não,,
'11626848000147','1227095','VC-CASTANHAL',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
'3178572000153','1439499','VC-GUARULHOS',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
'21510364000191','1575441','VC-PIRACICABA',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180, CÓDIGO: 6135552",sim,,
'14856981000188','1431649','VC-CAPAO BONITO',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
'28484808000100','1581126','VC-GUARATINGUETA',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180, CÓDIGO: 6135552",sim,,
'12787111000179','1562533','VC-RIO CLARO',2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'24548211000121','1482306','VC-NORTE ARAGUAIA',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6135560, CÓDIGO: 6054187, CÓDIGO: 6132938",sim,,
'37200474000197','1216045','VC-ALTO TAQUARI',0,1,0,0,CÓDIGO: 6054157,não,,
'11104167000119','1218903','VC-CIANORTE',1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190",não,,
'20247905000178','1474078','VC-ASSIS',2,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054180",sim,,
'5956576000140','1127686','VC-MOJI DAS CRUZES',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180",sim,,
'17866623000144','1488326','VC-GERAIS DE BALSAS',0,1,0,0,CÓDIGO: 6111677,não,,
'7419480000179','1062589','VC-BELEM',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
'19260316000140','1597534','VC-MEDIO CAPIBARIBE',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
'11540898000107','1551885','VC-A PARNAIBA PIAUI',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
'35589805000105','1549796','VC-PARANATINGA',1,1,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6132938",não,,
'12013096000101','1386635','VC-BACIA D SAO JOAO',0,1,0,1,"CÓDIGO: 6187066, CÓDIGO: 6162599",não,,
'41576819000189','1616512','VC-BRAGANCA PAULIST',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'43188707000186','1648361','VC-CAMPINAS',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'28335994000116','1541025','VC-ITUPORANGA',1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054205",não,,
'8406046000117','1413067','VC-AMPARO',1,2,0,0,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'30855570000124','1488262','VC-PINDARE',1,2,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178",sim,,
'32349029000170','1384794','VC-BARRA DO PIRAI',1,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6187066, CÓDIGO: 6162599",não,,
'4228288000107','1094812','VC-IRECE',1,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054178",não,,
'91495549013804','1646182','VC-SOLEDADE',0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
'8686449000167','1202233','VC-LIMEIRA',2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",sim,,
'31199466000191','1601070','VC-TRES RIOS',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677",sim,,
'91481499000151','1056270','VC-FREDE WESTPHALEN',1,1,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190",não,,
'20827525000102','1363651','VC-FLORIANO',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
'33469791000152','1524489','VC-CERES',1,1,0,0,"CÓDIGO: 6172311, CÓDIGO: 6135560",não,,
'19121421000107','1344160','VC-CRUZ ALTA',2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",sim,,
'10672793000149','1539533','VC-BARREIRAS',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6054178, CÓDIGO: 8020801",sim,,
'6203144000121','1572458','VC-PRUDENTOPOLIS',0,1,0,0,CÓDIGO: 6054190,não,,
'12299762000110','1466790','VC-IGUATU',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677",não,,
