CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
2819005000176,1051141,VC-GUAPORE,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
17246606000104,1318801,VC-CATANDUVA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
27843782000187,1453555,VC-ASSAI,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
3587303000140,1160843,VC-LAVRAS,0,0,0,0,,não,,
14391137000129,1283782,VC-FLORAI,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
12711697000198,1527795,VC-NOVA FRIBURGO,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
71075261000119,1082139,VC-DIVINOPOLIS,0,1,0,0, código: 6165750 ,não,,
93587293000136,1350770,VC-SANTA ROSA,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
28708643000103,1459643,VC-PORTO VELHO,0,2,0,0," código: 6120895 ,  código: 6165750 ",sim,,
93810760000145,1036318,VC-VACARIA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
3047054000109,1503323,VC-BOA VISTA,0,0,0,0,,não,,
4346990000175,1058999,VC-RESTINGA SECA,0,1,0,0, código: 6054205 ,não,,
27861344000141,1447304,VC-SALGADO,0,1,0,0, código: 6054178 ,não,,
30329392000106,1483092,VC-GARANHUNS,1,2,0,0," código: 6193629 ,  código: 6054188 ,  código: 6054178 ",sim,,
10513971000199,1514892,VC-MADEIRA,0,1,0,0, código: 6120895 ,não,,
1980443000159,1481937,VC-REGISTRO,0,1,0,0, código: 6054180 ,não,,
18250094000112,1332828,VC-GRAMADO-CANELA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
26142171000149,1453451,VC-COTINGUIBA,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
