CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 42kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
-,1511392,VC-ALTO PANTANAL,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1638870,VC-ARARAQUARA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1377751,VC-ANICUNS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1540157,VC-S JOAQUIM BARRA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1327814,VC-LENCOIS MARANHEN,0,0,1,0,0, código: 6111677 ,não,,
-,1454366,VC-CATALAO,1,0,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
-,1561706,VC-ITAJAI,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1341231,VC-FEIRA DE SANTANA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1573598,VC-CAXIAS,0,0,1,0,0, código: 6111677 ,não,,
-,1476826,VC-PALMEIRA INDIOS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1065148,VC-BARRETOS,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1310830,VC-WESCESLAU BRAZ,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1562482,VC-BACIA D SAO JOAO,0,0,1,0,0, código: 6187066 ,não,,
-,1247110,VC-RIO DO SUL,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1516759,VC-VALE DO IPANEMA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1635414,VC-PINDARE,0,0,1,0,0, código: 6054178 ,não,,
-,1674859,VC-MANHUACU,0,0,1,0,0, código: 6187066 ,não,,
-,1597481,VC-PARAUAPEBAS,0,0,1,0,0, código: 6111677 ,não,,
-,1057080,VC-UBERABA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1511344,VC-SERRINHA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1592004,VC-SALVADOR,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1589657,VC-TESOURO,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1657409,VC-PARECIS,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1002347,VC-ITUPORANGA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1438341,VC-BRASILEIA,0,0,1,0,0, código: 6120895 ,não,,
-,1544359,VC-ITAGUAI,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1511034,VC-GUARAPARI,0,0,1,0,0, código: 6187066 ,não,,
-,1563148,VC-GUARATINGUETA,1,0,1,0,0," código: 6054172 ,  código: 6187066 ",não,,
-,1614800,VC-QUIRINOPOLIS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1676413,VC-S JOSE CAMPOS,1,0,1,0,0," código: 6054172 ,  código: 6187066 ",não,,
-,1665276,VC-ANDRADINA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
