CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
93515690000100,1053147,VC-PELOTAS,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
14404760000179,1279257,VC-PIEDADE,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
7519899000100,1472477,VC-PAU DOS FERROS,1,1,0,0," código: 6193629 ,  código: 6111677 ",não,,
1544907000184,1407603,VC-PARANAIBA,0,1,0,0, código: 6165750 ,não,,
62000773000206,1054067,VC-OURINHOS,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
29117837000105,1461171,VC-S SEBAST PARAISO,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
11611369000157,1482662,VC-RIO FORMOSO,0,1,0,0, código: 6054158 ,não,,
748963000178,1503165,VC-PARINTINS,0,0,0,0,,não,,
24960072000149,1051248,VC-ROSARIO OESTE,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
2639023000176,1231790,VC-PIOI,0,1,0,0, código: 6165750 ,não,,
23191518000155,1450078,VC-PORTO NACIONAL,0,1,0,0, código: 6054158 ,não,,
19569668000182,1410603,VC-PIRES DO RIO,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
4415928005408,1056472,VC-PASSO FUNDO,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
8407736000271,1533296,VC-PATOS,0,1,0,0, código: 6054188 ,não,,
1681150000170,1056054,VC-RIO NEGRO (PR),1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
12849596000188,1457408,VC-PARA DE MINAS,0,1,0,0, código: 6165750 ,não,,
14991462000122,1414476,VC-PARAUAPEBAS,0,1,0,0, código: 6111677 ,não,,
3425720000197,1066211,VC-PINDARE,1,1,0,0," código: 6187345 ,  código: 6054178 ",não,,
917991000252,1457406,VC-ROSARIO,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
29994611000184,1517764,VC-PORTO VELHO,0,2,0,0," código: 6120895 ,  código: 6165750 ",sim,,
31303534000110,1505975,VC-RIO PRETO DA EVA,0,1,0,0, código: 6111677 ,não,,
4168887000182,1083078,VC-PACAJUS,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
2363061000149,1135393,VC-PRUDENTOPOLIS,0,1,0,0, código: 6054190 ,não,,
1365529000252,1248624,VC-PROPRIA,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
13529069000159,1435217,VC-RIO DE JANEIRO,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
18241171000410,1492420,VC-MURIAE,0,1,0,0, código: 6187066 ,não,,
9400286000258,1378761,VC-PEDRA AZUL,0,1,0,0, código: 6187066 ,não,,
2242017000180,1000898,VC-PARAIB/PARAITING,0,1,0,0, código: 6054180 ,não,,
22624307000104,1522794,VC-PORECATU,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
8699634000196,1341623,VC-NHANDEARA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
53846416000191,1007172,VC-RIO CLARO,2,1,0,0," código: 6172139 ,  código: 6054172 ,  código: 6165750 ",sim,,
35589805000105,1549796,VC-PARANATINGA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
2221116000186,1200020,VC-PAJEU,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
9404196000154,1429904,VC-SALGADO,0,2,0,0," código: 6111677 ,  código: 6054178 ",sim,,
5918981000174,1029973,VC-PIRACICABA,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
22095004000133,1060513,VC-PASSOS,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
12929590000110,1402691,VC-PORTO FRANCO,0,1,0,0, código: 6111677 ,não,,
9656093000181,1171288,VC-PATO BRANCO,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
14649188000108,1464430,VC-PONTE NOVA,0,1,0,0, código: 6111677 ,não,,
6205267000100,1059348,VC-PARECIS,1,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
8361556000115,1082788,VC-NOVA ANDRADINA,0,1,0,0, código: 6054190 ,não,,
9485724000147,1165607,VC-PARANAVAI,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
32680991000197,1514181,VC-PORTO SEGURO,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
33736548000153,1530687,VC-POCOS DE CALDAS,0,1,0,0, código: 6165750 ,não,,
12829007000108,1334912,VC-PIRASSUNUNGA,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
9258306000117,1155433,VC-REDENCAO,0,1,0,0, código: 6111677 ,não,,
22301219000163,1381890,VC-PRESIDENTE DUTRA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
4171751000121,1055741,VC-RONDONOPOLIS,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
1722595000151,1314889,VC-PARACATU,0,1,0,0, código: 6165750 ,não,,
19055549000101,1468501,VC-PORANGATU,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
31893587000139,1514603,VC-PORTEL,0,2,0,0," código: 6111677 ,  código: 6054178 ",sim,,
26664689000142,1476458,VC-S JOSE DO R PRET,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
27188538000128,1472866,VC-NAO-ME-TOQUE,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
1788281000151,1172234,VC-PENEDO,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
10824203000156,1403507,VC-SALGUEIRO,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
82462888000149,1006402,VC-PARANAGUA,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
12196924000194,1255150,VC-PITANGA,0,1,0,0, código: 6054190 ,não,,
20521505000109,1517492,VC-RIBEIRA D POMBAL,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
24882646000108,1490107,VC-NATAL,1,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
9408807000132,1455268,VC-PATROCINIO,0,1,0,0, código: 6165750 ,não,,
1094056000115,1051788,VC-POUSO ALEGRE,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
3530340000112,1407266,VC-OLIVEIRA,0,1,0,0, código: 6165750 ,não,,
5217420000148,1390374,VC-PAULO AFONSO,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
12823382000132,1470816,VC-OIAPOQUE,0,1,0,0, código: 6054178 ,não,,
7834561000135,1079339,VC-OSORIO,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
7040297000168,1386217,VC-PRESIDE PRUDENTE,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
26173214000153,1427996,VC-SALVADOR,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
6878665000189,1384407,VC-RIO VERMELHO,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
73437766000101,1083655,VC-PONTA GROSSA,1,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
26892212000114,1440172,VC-PICOS,2,1,0,0," código: 6187345 ,  código: 6193629 ,  código: 6054178 ",sim,,
4811186000110,1404897,VC-RIO DO SUL,1,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
75904383001870,1071730,VC-PALMAS,0,1,0,0, código: 6054190 ,não,,
26728009000107,1445480,VC-PRIMAVERA LESTE,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
8958469000140,1221486,VC-RIO BRANCO,0,1,0,0, código: 6120895 ,não,,
27766511000175,1474257,VC-PORTO ALEGRE,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
25203830000147,1437389,VC-MTA SETEN PERNAM,0,1,0,0, código: 6054188 ,não,,
63004030007441,1493174,VC-RIBEIRAO PRETO,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
1353505000100,1439702,VC-PATOS DE MINAS,0,1,0,0, código: 6165750 ,não,,
2417013000196,1450051,VC-S RAIMUNDO NONAT,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
37352390000179,1060703,VC-QUIRINOPOLIS,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
476575000185,1349399,VC-RESTINGA SECA,0,1,0,0, código: 6054205 ,não,,
10341189000130,1516340,VC-OBIDOS,0,1,0,0, código: 6054178 ,não,,
24320126000101,1527225,VC-NORTE ARAGUAIA,1,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
96448618000198,1061231,VC-NOVO HORIZONTE,1,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
5252983000177,1166002,VC-PETROLINA,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
20822315000121,1362242,VC-PARAGOMINAS,0,2,0,0," código: 6111677 ,  código: 6054178 ",sim,,
22067352000105,1520826,VC-S MIGUEL CAMPOS,1,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
1980443000159,1481937,VC-REGISTRO,0,1,0,0, código: 6054180 ,não,,
27598542000164,1444642,VC-OSASCO,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
30636097000194,1498367,VC-NOVA FRIBURGO,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
30014711000186,1477699,VC-S MIGUEL ARAGUAI,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
8755212000190,1459831,VC-PURUS,0,0,0,0,,não,,
32284586000150,1532634,VC-PIO IX,1,1,0,0," código: 6193629 ,  código: 6111677 ",não,,
15016792000160,1543677,VC-RECIFE,1,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
