CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
3455598000100,1547217,VC-ITABERABA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
5781116000129,1051003,VC-ITAJAI,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054205 ",sim,,
29047942000107,1512923,VC-ITABAIANA,0,1,0,0, código: 6054188 ,não,,
7285927000164,1167740,VC-IBIAPABA,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
4191675000116,1065587,VC-IPU,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
12942403000139,1423692,VC-MAZAGAO,0,0,0,0,,não,,
20593355000149,1462845,VC-MOSSORO,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
13031961000105,1419716,VC-LAVRA  MANGABEIRA,0,1,0,0, código: 6111677 ,não,,
10740124000167,1068311,VC-LITORAL NORTE,0,1,0,0, código: 6054188 ,não,,
10902321000135,1207620,VC-LI CAMOCI E ACAR,1,2,0,0," código: 6187345 ,  código: 6111677 ,  código: 6191541 ",sim,,
17609443000187,1342228,VC-JOACABA,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054205 ",sim,,
18758807000153,1353370,VC-LAPA,0,1,0,0, código: 6054190 ,não,,
4785673000155,1403235,VC-ITAPERUNA,0,1,0,0, código: 6187066 ,não,,
19959068000120,1435015,VC-LIT NTE ALAGOANO,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
8712198000148,1118744,VC-IRATI,1,1,0,0," código: 6054186 ,  código: 6054190 ",não,,
32889385000186,1516426,VC-ITAPEMIRIM,0,1,0,0, código: 6187066 ,não,,
87023404000189,1161719,VC-LAJEADO-ESTRELA,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
32244629000173,1537004,VC-ITAPIPOCA,1,1,0,0," código: 6187345 ,  código: 6191541 ",não,,
24251032000128,1472257,VC-ITAPETININGA,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
28115917000150,1476096,VC-ILHEUS-ITABUNA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
10674834000136,1515818,VC-JAGUARAO,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
1388348000160,1067487,VC-MEDIO JAGUARIBE,0,1,0,0, código: 6111677 ,não,,
9233144000162,1335339,VC-JOINVILLE,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
33202612000116,1536857,VC-JUNDIAI,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
8766514000164,1488221,VC-LINHARES,0,1,0,0, código: 6187066 ,não,,
3748507000116,1128796,VC-ITAPETINGA,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
12460099000193,1470887,VC-JALAPAO,0,1,0,0, código: 6054158 ,não,,
3577666000103,1051215,VC-MARILIA,2,2,0,0," código: 6054172 ,  código: 6054186 ,  código: 6054190 ,  código: 6054180 ",sim,,
2205902000190,1348754,VC-ITANHAEM,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
79209482000144,1052359,VC-IVAIPORA,2,1,0,0," código: 6054186 ,  código: 6054204 ,  código: 6054190 ",sim,,
5253025000110,1065683,VC-JEQUIE,1,1,0,0," código: 6161835 ,  código: 6054178 ",não,,
14190391000240,1504310,VC-MADEIRA,0,1,0,0, código: 6120895 ,não,,
11502707000112,1266006,VC-ITAGUAI,1,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
29664217000188,1498958,VC-MEDIO MEARIM,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
21744247000192,1379081,VC-LITORAL PIAUIENS,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
17726509000119,1436677,VC-MEDIO ARAGUAIA,1,1,0,0," código: 6054184 ,  código: 6135560 ",não,,
89492540000143,1050317,VC-LITORAL LAGUNAR,1,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
853691000176,1082741,VC-ITAJUBA,0,1,0,0, código: 6165750 ,não,,
55505275000179,1055527,VC-JAU,1,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
4246108000110,1479326,VC-LITORAL ARACATI,0,1,0,0, código: 6111677 ,não,,
13487092000128,1485226,VC-LITORAL SUL (RN),1,1,0,0," código: 6161835 ,  código: 6054188 ",não,,
12952275000104,1470631,VC-MERUOCA,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
10448338000164,1454962,VC-MANHUACU,0,1,0,0, código: 6187066 ,não,,
17061341000170,1470298,VC-MTA MERID PERNAM,1,0,0,0, código: 6161835 ,não,,
31302105000129,1547045,VC-MACAPA,0,1,0,0, código: 6054178 ,não,,
10977007000111,1388288,VC-MED PARNAI PIAUI,1,1,0,0," código: 6187345 ,  código: 6111677 ",não,,
